datetime,m3/d
2017-02-02,2196.8212189090914
2017-02-03,2156.2260462
2017-02-04,2134.7656848
2017-02-05,2068.3851525
2017-02-06,2034.4676094
2017-02-07,1981.7759871
2017-02-08,1947.5716302
2017-02-09,1923.4236744
2017-02-10,1900.5124607999999
2017-02-11,1869.3343728
2017-02-12,1978.8212781
2017-02-13,2203.8072264
2017-02-14,2798.2907919000004
2017-02-15,3029.9520771
2017-02-16,2658.2177139536843
2017-02-17,2990.2141791
2017-02-18,5344.1764407
2017-02-19,6754.681629899999
2017-02-20,13270.786461900001
2017-02-21,23129.6776461
2017-02-22,12909.022820099999
2017-02-23,8629.851984300001
2017-02-24,6887.7086859
2017-02-25,5238.6151554
2017-02-26,4281.1908543
2017-02-27,3892.4341010999997
2017-02-28,3983.6082933
2017-03-01,3862.2348657000002
2017-03-02,3782.6210349
2017-03-03,3890.1402693
2017-03-04,4105.6102512
2017-03-05,4089.7083554999995
2017-03-06,9429.892074000001
2017-03-07,22443.7598856
2017-03-08,16527.956031
2017-03-09,11658.686822099999
2017-03-10,9189.2656485
2017-03-11,7849.4606226
2017-03-12,7035.398280900001
2017-03-13,6298.726986000001
2017-03-14,5549.120424000001
2017-03-15,5147.2941093
2017-03-16,4724.7181119
2017-03-17,4362.5342961
2017-03-18,4094.6847705
2017-03-19,3966.1149375
2017-03-20,3813.5382858
2017-03-21,3668.8439772
2017-03-22,3648.9590856
2017-03-23,3256.5156246
2017-03-24,3012.5457873
2017-03-25,2964.8308077
2017-03-26,2954.1743982000003
2017-03-27,2748.6803187
2017-03-28,2641.6214532
2017-03-29,2711.8873818
2017-03-30,2898.551457
2017-03-31,3390.1306452000003
2017-04-01,4130.062317
2017-04-02,4628.4178022999995
2017-04-03,4942.0551303
2017-04-04,5346.9273492
2017-04-05,8387.7726987
2017-04-06,8418.1818375
2017-04-07,6878.605012200001
2017-04-08,6079.666611600001
2017-04-09,6276.4125012
2017-04-10,6565.4255403
2017-04-11,6071.602329
2017-04-12,5703.4912896
2017-04-13,5445.6066891
2017-04-14,5223.196419299999
2017-04-15,5211.6702561
2017-04-16,5550.9793245
2017-04-17,5953.928800500001
2017-04-18,6091.836575400001
2017-04-19,6427.5208461
2017-04-20,16737.5243799
2017-04-21,16060.7010123
2017-04-22,12600.7020981
2017-04-23,10403.0161803
2017-04-24,8943.8306319
2017-04-25,7812.5606892
2017-04-26,7187.1071607
2017-04-27,6481.8047646
2017-04-28,6027.9514002000005
2017-04-29,5673.7507032
2017-04-30,5389.210296
2017-05-01,5404.578647400001
2017-05-02,5291.2201032
2017-05-03,5837.3462907
2017-05-04,6326.10747
2017-05-05,6257.0627856
2017-05-06,5900.462514900001
2017-05-07,5703.2924337
2017-05-08,5495.747768100001
2017-05-09,5221.0989963
2017-05-10,4963.6724031
2017-05-11,4726.312147799999
2017-05-12,4476.8090366999995
2017-05-13,4302.324414
2017-05-14,4163.520582
2017-05-15,3990.3725978999996
2017-05-16,3863.7331785
2017-05-17,3814.9514622
2017-05-18,3747.9206790000003
2017-05-19,3724.7308029
2017-05-20,3895.0450191
2017-05-21,4131.9923733
2017-05-22,5160.7279818
2017-05-23,5932.7245071
2017-05-24,6684.5119896
2017-05-25,7756.6939875
2017-05-26,7678.3860765
2017-05-27,6964.233772500001
2017-05-28,6528.071867399999
2017-05-29,6015.4737957
2017-05-30,5590.037813400001
2017-05-31,5241.6250605
2017-06-01,4952.1111336
2017-06-02,4679.659449
2017-06-03,4442.2779438
2017-06-04,4216.683174299999
2017-06-05,4041.8595134999996
2017-06-06,3884.2779671999997
2017-06-07,3686.9486256
2017-06-08,3549.6091584
2017-06-09,3472.1054496
2017-06-10,3402.2212821
2017-06-11,3355.7332896000003
2017-06-12,3685.9615182000002
2017-06-13,3968.9018063999997
2017-06-14,3860.3173977
2017-06-15,3703.7853216
2017-06-16,3676.0614768
